,Bill no : 141 Packing list for dobby,,,,,,
Sl NO,Article no.,28,30,32,34,36,Total
1135,1112008156008,14,0,0,0,0,14
,1112008156009,0,12,0,0,0,12
,1112008156011,0,0,0,16,0,16
,1112008156012,0,0,0,0,6,6
1136,1112008156014,12,0,0,0,0,12
,1112008156015,0,10,0,0,0,10
,1112008156016,0,0,10,0,0,10
,1112008156017,0,0,0,8,0,8
1137,1112008156019,8,0,0,0,0,8
,1112008156025,0,14,0,0,0,14
,1112008156024,0,0,12,0,0,12
,1112008156022,0,0,0,0,6,6
1138,1112008156004,0,12,0,0,0,12
,1112008156005,0,0,10,0,0,10
,1112008156006,0,0,0,16,0,16
,1112008156007,0,0,0,0,6,6
1139,1112008156019,16,0,0,0,0,16
,1112008156023,0,0,0,16,0,16
,1112008156014,10,0,0,0,0,10
,1112008156017,0,0,0,8,0,8
1140,1112008156008,12,0,0,0,0,12
,1112008156010,0,0,12,0,0,12
,1112008156003,20,0,0,0,0,20
,1112008156018,0,0,0,0,2,2
Total,,92,48,44,64,20,268
